"draw_date","prize1","prize2_1","prize2_2","prize3_1","prize3_2","prize3_3","prize3_4","prize3_5","prize3_6","prize4_1","prize4_2","prize4_3","prize4_4","prize5_1","prize5_2","prize5_3","prize5_4","prize5_5","prize5_6","prize6_1","prize6_2","prize6_3","prize7_1","prize7_2","prize7_3","prize7_4","special_prize"
"2005-10-01T00:00:00.000Z","16876","34885 "," 65037","44442 "," 95464 "," 14795 "," 94080 "," 18983 "," 22006","4979 "," 4293 "," 2502 "," 4395","4240 "," 3439 "," 3988 "," 5912 "," 3636 "," 5423","729 "," 272 "," 278","12 "," 25 "," 78 "," 70","34584"
"2005-10-02T00:00:00.000Z","74231","21941 "," 86583","82939 "," 39013 "," 37092 "," 88395 "," 17282 "," 99157","8981 "," 1328 "," 0202 "," 3305","5478 "," 7814 "," 5570 "," 5896 "," 3661 "," 7253","331 "," 013 "," 553","24 "," 46 "," 30 "," 75","50058"
"2005-10-03T00:00:00.000Z","89075","77419 "," 59801","73967 "," 18578 "," 26727 "," 52018 "," 62059 "," 15532","0079 "," 6307 "," 2985 "," 1948","2473 "," 8019 "," 2770 "," 1154 "," 1644 "," 9550","043 "," 194 "," 981","09 "," 26 "," 29 "," 18","46814"
"2005-10-04T00:00:00.000Z","73220","64773 "," 39975","74570 "," 70277 "," 90211 "," 94402 "," 83978 "," 54761","3742 "," 3501 "," 5132 "," 9443","4454 "," 7639 "," 5388 "," 0306 "," 8466 "," 5297","315 "," 071 "," 932","24 "," 73 "," 35 "," 84","32563"
"2005-10-05T00:00:00.000Z","31458","83784 "," 55533","01812 "," 49603 "," 87816 "," 04178 "," 09624 "," 29487","1071 "," 9427 "," 9811 "," 5866","6847 "," 5136 "," 2585 "," 8724 "," 9812 "," 8089","851 "," 674 "," 705","15 "," 41 "," 51 "," 00","09852"
"2005-10-06T00:00:00.000Z","82586","21184 "," 78704","37483 "," 60299 "," 34262 "," 55601 "," 67599 "," 89225","7398 "," 8204 "," 1724 "," 3731","1484 "," 1006 "," 1925 "," 7841 "," 4114 "," 5238","167 "," 661 "," 532","75 "," 57 "," 41 "," 53","35371"
"2005-10-07T00:00:00.000Z","26915","68381 "," 11260","42072 "," 21854 "," 24410 "," 44870 "," 51799 "," 19658","7017 "," 0888 "," 1400 "," 5021","7656 "," 2637 "," 1537 "," 7332 "," 2877 "," 9662","143 "," 818 "," 753","16 "," 28 "," 13 "," 55","95380"
"2005-10-08T00:00:00.000Z","29038","70599 "," 83207","48854 "," 96137 "," 55276 "," 91021 "," 08776 "," 07577","6269 "," 8385 "," 3326 "," 2957","3086 "," 6165 "," 5270 "," 2435 "," 6009 "," 7586","467 "," 687 "," 776","07 "," 24 "," 40 "," 43","45626"
"2005-10-09T00:00:00.000Z","10428","05717 "," 97135","56893 "," 33270 "," 11561 "," 42941 "," 06390 "," 99782","2217 "," 8738 "," 8223 "," 9814","0811 "," 0477 "," 7511 "," 4915 "," 4850 "," 2921","758 "," 415 "," 177","45 "," 22 "," 19 "," 43","12393"
"2005-10-10T00:00:00.000Z","14040","87965 "," 58695","28836 "," 18604 "," 86567 "," 56619 "," 59477 "," 95278","9242 "," 5538 "," 5059 "," 7487","1934 "," 3703 "," 9371 "," 4644 "," 6259 "," 5044","996 "," 860 "," 657","30 "," 96 "," 75 "," 27","75293"
"2005-10-11T00:00:00.000Z","48867","98449 "," 99006","44057 "," 88446 "," 76570 "," 74704 "," 17484 "," 61834","4203 "," 3043 "," 8016 "," 1205","9359 "," 0540 "," 5380 "," 8795 "," 1293 "," 9938","029 "," 054 "," 664","52 "," 46 "," 21 "," 54","00966"
"2005-10-12T00:00:00.000Z","04737","91731 "," 82807","01945 "," 41294 "," 28980 "," 57082 "," 37134 "," 93331","4125 "," 3380 "," 9634 "," 0421","6223 "," 6157 "," 9568 "," 1717 "," 4529 "," 8755","349 "," 697 "," 926","99 "," 11 "," 42 "," 36","18862"
"2005-10-13T00:00:00.000Z","72406","77031 "," 21556","32775 "," 48748 "," 58692 "," 05651 "," 46252 "," 45548","2935 "," 2266 "," 8284 "," 7630","5603 "," 4573 "," 4496 "," 4722 "," 0833 "," 0010","655 "," 505 "," 993","94 "," 58 "," 49 "," 30","38426"
